ball,commentry
9.3,"9.3 Sangha to Gaikwad, 1 run, dragged short and wide of off, slapped to deep cover for a single"
9.2,"9.2 Sangha to Gaikwad, no run, tossed up on middle and leg, defended to the on-side"
9.1,"9.1 Sangha to Rinku Singh, 1 run, flighted delivery on off, worked in front of square on the on-side for a single"
8.6,"8.6 Dwarshuis to Gaikwad, no run, on a length and pushed across the right-hander, punched straight to the fielder at cover"
8.5,"8.5 Dwarshuis to Rinku Singh, 1 run, fuller length delivery on the pads, clipped in front of square on the on-side for a single"
8.4,"8.4 Dwarshuis to Rinku Singh, FOUR, cracking shot, dragged short and well wide of off, Rinku picks the length early, swivels across and then pulls it wide of mid-wicket, runs away to the ropes"
8.3,"8.3 Dwarshuis to Gaikwad, 1 run, fuller length delivery on off, clipped off the inner half past mid-wicket for a single"
8.2,"8.2 Dwarshuis to Rinku Singh, 1 run, on a good length and just outside off, Rinku pushes it into the gap square past point for a single"
8.1,"8.1Dwarshuis to Suryakumar Yadav, out Caught by Wade!! A loose drive and India have lost their captain now, the Raipur crowd has been stunned into silence, was a good length delivery that was angled across the right-hander - Suryakumar was playing for the straighter line, but he's undone by the angle, gets an audible edge and Wade does the rest. Two big guns back in the hut and India find themselves in some trouble. Suryakumar Yadav c Wade b Dwarshuis 1(2)"
7.6,"7.6 Sangha to Suryakumar Yadav, 1 run, flighted delivery outside off, Suryakumar leans forward, opens the face of the bat and finds the gap wide of cover with the drive, off the mark with a single"
7.5,"7.5 Sangha to Shreyas Iyer, out Caught by Chris Green!! A mistimed hoick and Shreyas has holed out to long-on - was nicely tossed up and Shreyas was shaping for the big hit over long-on, but the ball held up onto the surface and the Indian number three ended up dragging it off the lower half of the bat - Green runs across to his right at long-on and holds onto a simple catch. Shreyas Iyer c Chris Green b Sangha 8(7)"
7.4,"7.4 Sangha to Shreyas Iyer, 2 runs, tossed up on off, worked off the back-foot, into the pocket wide of long-on and Shreyas saunters back for the second"
7.3,"7.3 Sangha to Shreyas Iyer, 2 runs, flatter and at the pads, whipped past square leg and Shreyas is back for another brace"
7.2,"7.2 Sangha to Shreyas Iyer, 2 runs, the leg-break from Sangha, but the length is short and it lets Shreyas adjust his shot, dabs it with soft hands towards mid-on and scampers back for the second"
7.1,"7.1 Sangha to Gaikwad, 1 run, flighted delivery outside off, Gaikwad went hard on the drive and mistimed it wide of cover-point for a single"
6.6,"6.6 Chris Green to Gaikwad, 1 run, tossed up on off, worked down towards long-on for a single"
6.5,"6.5 Chris Green to Shreyas Iyer, 1 run, Green drifts one on middle and leg, turned past square leg for a single"
6.4,"6.4 Chris Green to Gaikwad, 1 run, flighted on off, Gaikwad prods across and pushes it wide of mid-wicket for a single"
6.3,"6.3 Chris Green to Shreyas Iyer, 1 run, Green tosses one on middle and leg, Shreyas gets going with a neat little tuck down to long-on"
6.2,"6.2 Chris Green to Shreyas Iyer, no run, flighted delivery outside off, pushed back at the bowler"
6.1,"6.1 Chris Green to Gaikwad, 1 run, tossed up on off, worked wide of mid-wicket for a single"
5.6,"5.6Hardie to Jaiswal, out Caught by McDermott!! Hardie troubled Jaiswal in his first over, he now has his man. Was a hard length delivery around off, bowled into the surface and Jaiswal is hurried onto the pull, hit high on the bat and the ball lobbed over mid-on - McDermott has plenty of time to track back, he keeps his eyes on the ball and holds onto a simple catch. Jaiswal c McDermott b Hardie 37(28) [4s-6 6s-1]"
5.5,"5.5 Hardie to Jaiswal, no run, short of a good length and just outside off, punched off the back-foot to the off-side"
5.4,"5.4 Hardie to Gaikwad, 1 run, on a length and at the stumps, pushed in front of mid-on for a single, brings up India's 50"
5.3,"5.3 Hardie to Gaikwad, no run, banged in short by Hardie - Gaikwad ducks under and lets it go"
5.3,"5.3 Hardie to Gaikwad, wide, full and well down leg, past Gaikwad's flick and is called as a wide"
5.2,"5.2 Hardie to Jaiswal, 1 run, Hardie shortens the length outside off, steered behind square on the off-side for a single"
5.1,"5.1 Hardie to Jaiswal, FOUR, hammered, a cross-seam delivery from Hardie, but it's too full - lets Jaiswal clear his front-leg and then lift it back over the bowler's head, couple of bounces and over the ropes"
4.6,"4.6 Chris Green to Jaiswal, 1 run, the slider from Green, drifted back into the left-hander and cramped him for room, chopped wide of cover foir a single"
4.5,"4.5 Chris Green to Jaiswal, SIX, clubbed, a half-tracker from Green - Jaiswal rocks back and then thumps the pull over mid-wicket, went sailing a long way over"
4.4,"4.4 Chris Green to Jaiswal, 2 runs, an ill-timed muscle, but Jaiswal gets away with it - was short ewnough for the pull, but it hurried onto him and robbed him of all timing, gets enough to clear mid-wicket"
4.3,"4.3 Chris Green to Jaiswal, FOUR, cracking shot, dragged short and wide of off - Jaiswal backs away and then cuts it square behind point, races away to the ropes"
4.2,"4.2 Chris Green to Gaikwad, 1 run, nicely tossed up on off, nudged in front of square on the off-side for a single"
4.1,"4.1 Chris Green to Gaikwad, no run, fraction short and a hint of drift across the right-hander, defended back at the bowler"
3.6,"3.6 Behrendorff to Jaiswal, no run, on a good length and angling back into the left-hander, cramped for room, Jaiswal pushes it back at the bowler"
3.5,"3.5 Behrendorff to Jaiswal, no run, slower short ball outside off, cut straight to the fielder at cover-point"
3.4,"3.4 Behrendorff to Gaikwad, 1 run, fuller length delivery on off, driven to the right of mid-off for a single"
3.3,"3.3 Behrendorff to Gaikwad, FOUR, short, wide and four, width on offer from Behrendorff - Gaikwad rfeaches out, uses Behrendorff's pace and then steers it backward of square on the off-side for a boundary"
3.2,"3.2 Behrendorff to Gaikwad, no run, Behrendorff shortens the length and angles one across the left-hander, chopped straight to the fielder at backward point"
3.1,"3.1 Behrendorff to Gaikwad, no run, short of a good length and just outside off, Gaikwad gets behind the line and defends it to the off-side"
2.6,"2.6 Dwarshuis to Jaiswal, no run, Dwarshuis shortens the length around middle, Jaiswal leans across and defends it to the on-side, 12 off the over"
2.5,"2.5 Dwarshuis to Jaiswal, FOUR, another half-volley from Dwarshuis - at the pads and it's nonchalantly whipped away, over backward square leg for a boundary"
2.4,"2.4Dwarshuis to Jaiswal, FOUR, cracking shot, a leg-stump half-volley from Dwarshuis, Jaiswal gets inside the line and then brings his wrists into play, whipping it over mid-wicket for a boundary"
2.3,"2.3 Dwarshuis to Jaiswal, no run, fuller length delivery on off, Jaiswal prods forward and pushes it to mid-off"
2.2,"2.2 Dwarshuis to Jaiswal, FOUR, beautifully played, overpitched by Dwarshuis - Jaiswal leans forward, presents the full face of the bat and then plays a lovely on-drive, between the non-striker and the man at mid-on"
2.1,"2.1 Dwarshuis to Jaiswal, no run, fuller length delivery outside off, driven straight to the fielder at cover-point"
1.6,"1.6 Behrendorff to Jaiswal, 1 run, back of a length and just outside off, chopped away behind square on the off-side for a single"
1.5,"1.5 Behrendorff to Jaiswal, byes, FOUR, extra bounce and the ball climbs over Wade's leap - bonus runs for India, banged in short and the ball took off, over Jaiswal's attempted cut and kept gaining in height, giving Wade no chance"
1.4,"1.4 Behrendorff to Jaiswal, no run, tad fuller and wider of off, Jaiswal leans across and plays a push-drive to backward point"
1.3,"1.3 Behrendorff to Jaiswal, 2 runs, on a good length and just outside off, dropped in front of cover-point and they're off for a quick single, there's a shy at the striker's end and an overthrow is conceded"
1.2,"1.2 Behrendorff to Jaiswal, no run, fuller length delivery outside off, Jaiswal went hard on the drive and mistimed it back at the bowler"
1.1,"1.1Behrendorff to Jaiswal, FOUR, lovely, Jaiswal is finally off the mark - fuller length delivery and well wide of off, Jaiswal leans across, plays with an open face and finds the gap wide of cover-point with a free-flowing drive"
0.6,"0.6 Hardie to Jaiswal, leg byes, 1 run, loud shout for LBW and we've a review - did look close, but was the angle taking the ball past the off-stump, stayed a tad low and beat Jaiswal's attempted pull - no bat and UltraEdge confirms it, but it does look like the angle will save the left-hander - the off-stump is vidible and ball-tracking shows that the ball pitched just outside leg, so the original call stays and Australia lose a review"
0.5,"0.5 Hardie to Jaiswal, no run, fuller length delivery outside off, Jaiswal leans across and can't beat cover-point with the drive, pressure buildiong on the young opener"
0.4,"0.4 Hardie to Jaiswal, no run, on a good length and just outside off - Jaiswal gets well forward and drives it to mid-off"
0.3,"0.3 Hardie to Jaiswal, no run, fraction fuller and wider of off, Jaiswal creams the drive and finds the fielder at cover"
0.2,"0.2 Hardie to Jaiswal, no run, on a good length and just outside off - Jaiswal gets a good stride forward and finds mid-off with the drive"
0.1,"0.1 Hardie to Jaiswal, no run, fuller length delivery and a hint of swing back into the left-hander, Jaiswal's feet went nowhere as he swung and missed"
